# Nuitka runtime helpers ranked by call frequency
# (aliases are used in per-module .disasm.txt files)
# Rank  CallCount  Alias                     Address

   242          5  helper_242_0x143240300    0x143240300
   243          5  helper_243_0x1432553C0    0x1432553C0
   244          5  helper_244_0x143286750    0x143286750
   245          5  helper_245_0x143290D00    0x143290D00
   246          5  helper_246_0x1432989B0    0x1432989B0
   247          5  helper_247_0x14329DD80    0x14329DD80
   248          5  helper_248_0x1432A24E0    0x1432A24E0
   249          5  helper_249_0x1432BD100    0x1432BD100
   250          5  helper_250_0x14330D380    0x14330D380
   251          5  helper_251_0x14330F7C0    0x14330F7C0
   252          4  helper_252_0x1440A8600    0x1440A8600
   253          4  helper_253_0x1479C9BF0    0x1479C9BF0
   254          4  helper_254_0x142E0E280    0x142E0E280
   255          4  helper_255_0x142E1CF40    0x142E1CF40
   256          4  helper_256_0x142EC5CA0    0x142EC5CA0
   257          4  helper_257_0x142F85980    0x142F85980
   258          4  helper_258_0x142F8D290    0x142F8D290
   259          4  helper_259_0x142FC2CB0    0x142FC2CB0
   260          4  helper_260_0x142FC45D0    0x142FC45D0
   261          4  helper_261_0x142FC9FB0    0x142FC9FB0
   262          4  helper_262_0x143043940    0x143043940
   263          4  helper_263_0x143102C00    0x143102C00
   264          4  helper_264_0x143109370    0x143109370
   265          4  helper_265_0x14315F250    0x14315F250
   266          4  helper_266_0x143199D40    0x143199D40
   267          4  helper_267_0x1431B86E0    0x1431B86E0
   268          4  helper_268_0x143235760    0x143235760
   269          4  helper_269_0x14327C010    0x14327C010
   270          4  helper_270_0x1432B7120    0x1432B7120
   271          3  fn_0x142CF9EE0            0x142CF9EE0
   272          3  fn_0x142D2E910            0x142D2E910
   273          3  fn_0x142D53640            0x142D53640
   274          3  fn_0x142DBEBC0            0x142DBEBC0
   275          3  fn_0x142E0C330            0x142E0C330
   276          3  fn_0x142E5F6F0            0x142E5F6F0
   277          3  fn_0x142EDD9A0            0x142EDD9A0
   278          3  fn_0x142F26AF0            0x142F26AF0
   279          3  fn_0x1409BBC20            0x1409BBC20
   280          3  fn_0x1479C8E00            0x1479C8E00
   281          3  fn_0x142F26230            0x142F26230
   282          3  fn_0x147A3B950            0x147A3B950
   283          3  fn_0x142F56F10            0x142F56F10
   284          3  fn_0x1479FE080            0x1479FE080
   285          3  fn_0x142F71690            0x142F71690
   286          3  fn_0x142F72770            0x142F72770
   287          3  fn_0x1479F51C0            0x1479F51C0
   288          3  fn_0x142F77A10            0x142F77A10
   289          3  fn_0x142F75D70            0x142F75D70
   290          3  fn_0x1479FF1D0            0x1479FF1D0
   291          3  fn_0x142F75D20            0x142F75D20
   292          3  fn_0x1479FE2C0            0x1479FE2C0
   293          3  fn_0x142FB4300            0x142FB4300
   294          3  fn_0x142FB3920            0x142FB3920
   295          3  fn_0x142FF0090            0x142FF0090
   296          3  fn_0x1479FE140            0x1479FE140
   297          3  fn_0x1430658B0            0x1430658B0
   298          3  fn_0x1430565D0            0x1430565D0
   299          3  fn_0x14304A370            0x14304A370
   300          3  fn_0x143048920            0x143048920
   301          3  fn_0x143057700            0x143057700
   302          3  fn_0x14305B5E0            0x14305B5E0
   303          3  fn_0x143075D50            0x143075D50
   304          3  fn_0x1430DCDA0            0x1430DCDA0
   305          3  fn_0x14319BDF0            0x14319BDF0
   306          3  fn_0x14319CD50            0x14319CD50
   307          3  fn_0x1431C1F70            0x1431C1F70
   308          3  fn_0x143281D20            0x143281D20
   309          3  fn_0x1479D3F40            0x1479D3F40
   310          2  fn_0x1440A86E0            0x1440A86E0
   311          2  fn_0x147A03850            0x147A03850
   312          2  fn_0x142D2E830            0x142D2E830
   313          2  fn_0x142DBDE70            0x142DBDE70
   314          2  fn_0x142E5F610            0x142E5F610
   315          2  fn_0x142EDDAB0            0x142EDDAB0
   316          2  fn_0x142EDBD00            0x142EDBD00
   317          2  fn_0x142F26120            0x142F26120
   318          2  fn_0x142F266E0            0x142F266E0
   319          2  fn_0x142F26350            0x142F26350
   320          2  fn_0x142F715B0            0x142F715B0
   321          2  fn_0x142F751F0            0x142F751F0
   322          2  fn_0x147A15D00            0x147A15D00
   323          2  fn_0x142FEFFB0            0x142FEFFB0
   324          2  fn_0x1430657D0            0x1430657D0
   325          2  fn_0x1430564F0            0x1430564F0
   326          2  fn_0x1430479A0            0x1430479A0
   327          2  fn_0x143075C70            0x143075C70
   328          2  fn_0x1479F5090            0x1479F5090
   329          2  fn_0x1430DC770            0x1430DC770
   330          2  fn_0x14319BD10            0x14319BD10
   331          2  fn_0x14319CC70            0x14319CC70
   332          2  fn_0x1431C1E90            0x1431C1E90
   333          2  fn_0x143281C40            0x143281C40
   334          2  fn_0x1432B7470            0x1432B7470
   335          1  fn_0x1440A8FFE            0x1440A8FFE
   336          1  fn_0x1440A80A0            0x1440A80A0
   337          1  fn_0x142CFAA86            0x142CFAA86
   338          1  fn_0x142CF98A0            0x142CF98A0
   339          1  fn_0x142CD61C0            0x142CD61C0
